,VTM,,
19.44_143.0327m/z,22708.43043,22509.34349,22644.60447
8.22_192.1361n,18184.43112,17621.8249,17698.63337
6.03_905.7151m/z,10002.24272,10043.27061,9853.915026
9.65_920.5670n,33069.55868,33191.01138,32533.07656
5.84_90.9766m/z,32004.74874,32354.16917,31934.14178
17.38_344.8755m/z,21271.11417,22504.63585,21760.16428
3.63_283.0928n,14640.31963,15061.64457,15090.86962
8.36_144.0935n,11845.5234,11804.69102,11539.57452
10.10_836.4976m/z,32293.12553,33520.25986,32656.91817
9.55_624.8570m/z,38310.56372,37973.35632,38082.10641
9.87_899.5337m/z,31732.88705,31329.34428,30493.86967
9.07_737.4201m/z,38276.27297,38005.93898,38611.80595
9.54_416.7503m/z,38726.34385,38828.90663,38571.22215
3.33_337.1059m/z,22116.88145,22355.45477,21333.17193
10.85_270.1569m/z,39146.26119,38599.46511,38748.76357
9.53_545.8313m/z,39241.88682,38549.14803,39289.99171
10.01_728.7746n,33361.41807,33005.47521,33348.86551
9.71_505.2927n,38959.83679,38322.00935,38957.63727
6.91_972.8811m/z,33585.10608,33717.75825,33301.70596
9.26_430.7490m/z,39514.2187,39427.33505,39640.54743
9.81_768.9613m/z,36844.99877,36586.14115,37289.66955
7.21_122.9248m/z,33373.64817,33518.82947,33422.82242
5.96_617.0731m/z,22609.01802,22711.34968,21945.70581
10.05_893.5251m/z,32921.43075,32449.6453,32225.40576
11.92_157.1338m/z,21399.4576,21448.69794,21017.79409
9.39_495.7947n,40482.38317,40061.43775,40083.02593
9.70_649.3985m/z,38997.65003,38636.80158,38491.66859
9.42_490.2993m/z,40274.27487,40507.31485,39904.29928
9.51_465.2711m/z,40437.98483,40189.58151,40103.47714
9.44_349.2175n,40332.67156,40645.31785,40585.45903
9.64_545.3385m/z,40253.25832,39641.14979,40853.41957
8.86_626.3518m/z,40383.91741,40970.13479,40632.19989
9.71_687.4019m/z,40302.73437,39587.00488,39850.93648
7.49_170.0332m/z,28938.51976,29095.51526,28847.18818
9.56_502.8000n,41975.3756,41337.83284,41460.39577
5.95_549.0858m/z,24167.82154,24353.40003,24171.92558
5.96_583.0794m/z,24085.81064,24050.52186,23660.51686
9.60_671.8808m/z,41744.72861,41921.95933,42593.35346
2.79_242.0789n,16320.59531,16364.10227,16725.02813
9.86_639.3871m/z,40289.3646,40636.38597,40306.58307
7.04_593.0715m/z,30626.07319,31321.48513,30712.86017
9.94_618.3814m/z,38571.35127,38594.80503,38698.07608
9.38_427.2656m/z,42343.99522,42398.41704,41959.37205
6.09_770.2588m/z,11039.91247,11224.22733,10966.1377
9.26_419.2524n,41353.23445,41429.63763,41362.15383
9.63_631.8686m/z,43649.28381,42594.71021,42884.28113
11.48_138.0915m/z,43498.40687,42976.16046,42948.27758
9.55_405.2547n,42498.08313,42378.66439,42282.16088
9.97_964.5661m/z,35211.05287,35974.44375,35959.59737
9.02_684.3975m/z,42318.28481,41636.90296,42283.06014
9.44_482.8000m/z,43282.46379,42500.24357,43136.87723
6.07_673.6928m/z,12267.52782,12270.2332,12044.52963
9.94_782.4620m/z,40298.105,40235.63498,40039.3827
9.43_560.8115m/z,45251.33263,44392.68278,44631.30271
9.76_790.9575m/z,42420.77214,41968.4128,43640.80093
9.63_593.8675m/z,43192.39955,42874.50172,43135.43538
5.97_781.1072m/z,21128.96523,21317.72219,20370.42171
9.06_749.4207m/z,45443.86749,45517.9079,46356.70333
12.21_274.2509n,27229.80032,27488.75496,27204.28795
9.90_957.5640m/z,37795.1463,38579.4566,37850.32742
9.55_538.3335m/z,44890.86565,44675.21027,44308.7501
10.96_118.1230m/z,53.1873548,98.64312363,66.34550907
9.62_629.8561n,46248.74007,45919.5959,46072.00713
9.92_909.5344m/z,37670.69214,38285.51324,36839.93389
6.09_640.2185m/z,11080.11865,11197.48916,11213.81553
11.72_346.2233m/z,23320.6389,23078.28565,23190.02346
9.37_486.2832m/z,47468.5354,46728.84993,46912.45248
5.85_362.9266m/z,40031.18206,40477.46723,39923.65077
6.88_1091.4286m/z,40365.12417,40927.10974,40366.22565
11.82_770.8503m/z,26976.03443,27751.32084,27421.74878
11.69_678.3963n,47545.73354,47777.75915,47440.47367
8.65_216.0985n,22251.81772,22195.65058,22251.69813
10.12_924.5192n,39451.57281,39480.8433,38687.92713
6.94_853.3305m/z,40400.6206,41056.6875,40184.07858
10.11_934.5516m/z,40653.07086,39771.77068,36923.86692
12.27_304.2840m/z,26330.15916,26404.64733,26341.78372
9.83_807.4841n,43757.10124,42485.68538,43523.13588
11.27_414.2055n,35563.12015,35177.5508,35283.68683
9.21_684.4188n,46062.15997,46227.27636,45573.52755
10.00_716.4262n,43558.89071,43953.80115,44150.97274
9.80_571.8540n,48167.90615,49087.32706,48966.08823
10.10_887.5239m/z,40938.80188,40143.39569,41313.20061
9.70_685.8902n,48778.45296,49243.5358,49683.09899
6.52_834.8542m/z,47582.8203,48527.98413,47814.92478
9.31_505.2788m/z,49384.20926,49467.54172,49138.83666
11.96_199.1748m/z,27802.53498,27733.24286,27412.33134
6.11_748.7783m/z,9232.188498,9656.940703,9699.644362
4.68_299.0628m/z,50688.80751,50177.27372,50417.34462
14.40_536.1653m/z,0,0,0
9.91_613.3790m/z,46681.00718,46948.93677,47491.73415
5.98_515.0923m/z,28769.40131,29304.06354,28843.7571
1.20_170.1063n,52062.81399,51175.01696,50532.07988
2.33_170.0431m/z,20370.63059,20261.72835,21266.79801
10.09_883.5231m/z,42551.2558,41663.2074,41572.58416
9.03_630.3857m/z,51168.38092,51517.9474,51799.15176
9.65_438.7723n,51094.24327,50347.22085,50780.55814
9.64_679.8894m/z,51769.8904,51260.49566,52136.77946
10.46_118.0282n,51832.37611,52138.52529,51499.65791
9.29_521.2862m/z,50663.48493,49160.52053,38583.98732
3.18_161.0241m/z,32524.48119,32833.56967,32594.57157
9.89_646.3807m/z,50650.05384,50249.25776,49951.50569
9.72_719.4272m/z,49398.69026,49853.53673,49588.77607
10.08_927.5489m/z,43910.73964,43116.76446,42498.29747
9.26_171.1047m/z,23353.91666,23373.96762,22846.2659
9.86_576.3511m/z,49958.50423,49514.33613,49824.29859
6.10_1019.3478m/z,13600.05331,13791.79943,13807.11773
9.86_902.5283m/z,44908.04262,45143.95056,45153.34689
9.39_602.3660m/z,53569.21879,53655.37119,53772.78009
9.25_457.7530m/z,54103.07263,54185.67767,54388.70665
3.94_134.0944n,8415.297248,8130.666505,8267.181377
9.26_869.5243n,46443.76013,46720.70923,46668.72364
8.17_365.1580m/z,13779.20782,13738.59202,13665.26806
11.74_329.1761m/z,33561.67252,33174.19409,33288.05636
11.70_323.1977m/z,8945.465478,8914.042434,9172.214942
0.81_130.0507m/z,19415.16205,19241.18895,20420.51664
9.73_631.3704n,52840.02895,52748.56255,53261.1444
9.55_597.3513m/z,56440.80878,55673.74003,56166.32074
9.06_363.2165n,56099.57691,56307.46137,57749.08729
9.77_751.9547n,53842.44145,54557.14989,55044.69743
6.91_972.3798m/z,49588.61073,50013.27327,50047.42421
13.16_376.2981m/z,33241.18015,33978.85175,33958.246
5.82_158.9642m/z,49834.65706,50225.39299,49925.558
13.12_123.0813m/z,36661.02344,36348.24825,36142.70471
6.21_964.8944m/z,58430.37574,59607.47628,58646.60696
10.18_308.2202n,10721.22389,10893.38419,10136.50337
6.06_837.2253m/z,15875.46802,15565.37843,15583.16685
9.44_518.7910n,60399.62895,59141.97946,58787.0139
0.86_289.0923m/z,36533.44301,36916.64401,36942.47855
6.01_447.1047m/z,32206.71315,32548.31886,32282.49062
5.91_690.9945m/z,44657.71005,44894.42551,44019.67251
9.98_637.3711n,53836.42082,53590.4354,53623.14217
10.06_823.4897m/z,53485.34156,53454.18532,53087.99882
1.09_315.0805m/z,51442.57799,52344.51911,52512.30643
10.09_868.5102m/z,51942.76003,50684.5758,50279.79996
6.98_872.3087m/z,37576.3284,38928.79381,38222.83418
10.10_914.5418m/z,52232.92693,50943.6551,49810.86732
9.71_647.8929n,59503.6469,59216.9535,59357.9512
10.92_274.1786n,17619.4951,17638.76289,17671.67298
9.94_665.3926m/z,58810.99699,58656.14272,58733.90132
10.10_879.5224m/z,52366.46826,50273.59225,50734.07144
9.56_809.5019n,59440.62015,59231.03963,59108.49157
13.55_444.1129n,0,0,0
5.29_351.1837n,6705.189221,6844.307701,6566.108979
8.46_111.1171m/z,63808.17014,63208.851,63715.86927
9.71_696.9205n,61784.18659,61988.97871,62010.70121
10.02_795.4767m/z,56485.41682,56439.41774,56183.50623
6.08_662.2006m/z,21465.10827,21447.04839,21107.48341
9.79_583.3480m/z,65190.88072,65406.73593,65318.07265
6.00_1007.1932m/z,22590.08336,22567.81648,22107.65613
11.39_294.9390m/z,36100.79487,36482.81373,36016.37506
9.64_449.2631n,65054.71229,64516.44866,65202.54618
5.92_883.0876m/z,37315.06195,37227.04072,36247.89517
3.81_239.1454m/z,21750.90115,21180.96759,20850.3558
9.86_626.8847n,64558.00247,65820.76467,65393.43259
11.67_634.3693n,66959.08404,66828.72189,66935.44154
11.84_634.8766m/z,40193.97904,41220.52945,40478.48343
9.74_713.4294m/z,62863.3629,62263.45605,62272.23835
7.02_791.2157m/z,46974.88464,47639.801,47012.63103
1.20_85.0533n,68787.79151,67335.96054,66208.76328
9.72_494.3047n,67260.37817,66660.81163,67711.65631
6.07_1063.3123m/z,37699.97972,38005.8684,38440.21032
2.20_102.0552m/z,64520.91248,64590.43079,65383.27187
8.75_572.3438m/z,63224.29293,63125.33641,62902.81333
11.61_502.2919n,68404.98429,68694.69862,68231.03665
2.64_198.1375n,33571.16656,32607.04191,32543.05974
5.98_713.1197m/z,32638.44736,32338.97233,32246.03957
9.63_593.3658m/z,67850.82312,67605.41985,67860.56397
9.55_537.8327m/z,69302.49935,69242.45728,69106.3584
0.87_127.0395m/z,42143.84733,43167.35314,43565.03823
9.49_567.8140n,72636.11323,71520.13931,72035.643
9.56_574.8226n,72722.39924,72442.78915,72618.85635
9.44_482.2996m/z,70445.37459,70584.33437,70262.70276
9.86_628.3937m/z,69271.99381,68766.59857,69914.6724
10.01_635.3808n,70052.73887,69669.41344,69997.43255
9.78_838.4924m/z,64229.23529,64045.74472,64610.52986
11.85_838.8375m/z,42244.45233,42953.82469,42811.39165
9.38_426.7651m/z,73894.62551,73011.32691,73126.98355
9.37_513.2885m/z,76710.58606,76689.65941,76162.77706
9.94_649.3891n,69526.95358,71377.11697,70219.77459
16.91_966.0463m/z,39074.34097,39155.37244,38129.53316
5.29_226.1689n,701.2730964,678.8421509,870.6647614
9.38_474.7862n,77333.08492,76470.63907,76713.5496
9.71_675.4067m/z,71616.78538,71876.57877,72059.28716
9.55_624.3579m/z,78194.21174,77911.92416,77862.14451
9.76_704.4300m/z,73227.59893,73032.91032,73571.98917
10.85_214.1306m/z,79253.36284,78754.5389,77663.05037
9.60_250.1782n,25577.93561,25228.29663,25153.95016
11.65_590.3435n,78750.8442,79270.79495,79423.34589
0.86_145.0499m/z,46730.07777,47569.00563,47709.15797
11.71_350.0928n,45366.70624,45010.05459,44798.33632
13.16_674.6690n,41996.92994,41902.57341,42104.27013
6.12_618.2366m/z,16050.87637,15880.8923,15856.61292
6.10_629.2276m/z,14155.01578,14011.65766,13863.61249
10.81_202.1809m/z,82856.79722,82093.96551,82033.23463
6.53_834.3528m/z,81047.15626,81182.97049,80607.72796
11.64_546.3180n,83357.26109,83522.18691,83252.95226
8.46_146.1288n,83681.18969,83662.47569,84521.83681
10.03_761.4595m/z,74960.51335,75458.69822,74578.01916
1.69_633.1869m/z,13650.43639,13753.09021,13622.66028
9.55_585.8534n,84477.72335,83765.08027,84127.44322
6.13_737.7875m/z,26414.99978,26576.1402,26425.56834
11.71_149.0237m/z,25160.36874,24692.67184,24816.47591
8.77_271.1159m/z,50133.87553,50223.38583,49626.53126
0.86_162.0534n,54829.95501,55447.83179,55888.87331
7.07_317.0164m/z,54758.97054,55047.4311,54825.46198
10.03_776.4622m/z,78681.28321,78984.76794,78623.40589
9.04_704.3865n,87565.76386,87911.17832,87907.96724
9.64_641.3866n,87865.71831,86613.20045,86908.42744
0.80_293.0987m/z,57321.53309,58963.4018,59709.25837
6.21_964.3931m/z,91244.86157,92245.40277,90971.78595
9.94_693.4164m/z,86564.29021,86423.39108,85338.53117
9.87_853.5035m/z,81921.78557,79430.87637,79616.82846
9.94_707.4224m/z,87197.00207,87769.81654,87050.02164
9.64_438.2716n,93689.40292,92548.14871,93661.97454
12.17_331.2177n,11990.36576,12287.65468,12245.68456
9.55_404.7522n,93521.93142,92766.24812,93567.59035
9.73_515.8186n,95479.89497,94377.16906,95126.95717
6.11_748.2769m/z,18159.40431,18190.17152,18442.75758
9.04_758.4558n,88768.9829,89383.54777,89782.33763
10.87_113.0592n,84829.40232,84109.16715,84202.27695
9.64_640.8871n,96339.37165,96000.75095,96849.24759
9.55_586.3609m/z,93192.93471,92541.39589,93465.30792
19.44_161.0239m/z,50535.81398,51468.92526,51100.50982
6.24_1083.9436m/z,99505.27326,100056.6928,98883.20274
7.72_299.0448m/z,42982.50905,44212.4725,43691.73245
11.43_130.1590m/z,55002.9434,54939.87761,54808.43318
9.47_569.3195m/z,103789.3895,102790.7204,103546.3142
9.98_669.3885n,90979.62078,92331.29769,91381.83623
11.85_702.8629m/z,57854.25363,59253.41251,58781.00015
11.35_226.9520m/z,59365.23493,60180.25559,58977.60972
10.09_810.4859m/z,91361.46992,91684.77515,90844.59001
10.03_729.4408m/z,95409.87115,95172.84075,96328.85037
17.32_157.0852n,14872.92056,14224.52373,14014.46739
7.89_132.1037m/z,16893.75303,16840.57597,16511.31964
9.17_670.2645n,31298.42561,30803.76088,30907.29414
7.07_398.9800m/z,59077.98375,59474.99371,59634.95914
7.03_552.1102n,93852.32988,94119.5446,94103.5564
9.49_530.3157n,110956.2509,110316.8046,110181.9082
6.54_1072.9525m/z,108060.1857,109030.4764,107836.605
10.00_816.4853m/z,97755.3425,99288.85664,97541.4799
1.94_161.0241m/z,13081.03739,12728.45753,12738.69321
10.02_872.5270m/z,98816.16208,99138.91728,96038.5068
8.28_559.3102m/z,121433.0813,121046.2043,120409.236
7.42_282.1689n,53848.23426,51413.82799,50393.81181
9.70_210.0897n,29123.50472,28357.40333,29457.50858
7.94_647.2478m/z,30048.34464,29715.44676,29671.84417
9.45_698.4342n,134802.514,134629.1909,134265.1149
6.52_953.9037m/z,132281.9523,132641.3106,132079.9649
6.24_1083.4422m/z,136738.9809,137865.2206,136076.3241
7.04_591.0745m/z,100933.2992,100617.8759,100025.0127
15.49_610.1846m/z,0,0,0
12.20_254.1617m/z,139174.107,139847.0833,139025.5139
12.46_269.2592m/z,69043.78521,68889.29396,68038.62244
5.29_136.0738m/z,17743.59156,17610.81641,18057.8437
9.24_396.7374n,137558.88,136311.9988,136672.7019
8.26_504.2949n,143934.0141,142605.6148,142524.1637
8.74_670.3789m/z,142828.0416,143522.8203,144684.9364
7.78_240.1095m/z,93810.60661,94564.34785,93468.06236
9.95_700.4157n,132161.1171,132208.2595,132570.79
9.49_529.8194n,149494.6536,146994.3923,148982.1788
6.55_1072.4510m/z,149299.2828,151329.5766,149775.9988
9.82_846.4983m/z,138478.4927,137668.1461,137106.9438
11.82_398.2442n,92064.59442,92719.54463,93174.07983
1.74_707.2219m/z,161600.5167,162564.5857,163725.5308
6.11_997.3664m/z,42806.12358,43468.63065,43204.70888
6.02_939.2060m/z,61679.70796,61522.10218,60975.01259
9.64_680.3936m/z,158943.6347,158415.9125,159997.873
9.71_735.4300m/z,154750.9629,155264.0885,154556.5514
6.29_477.3146m/z,166489.1377,169049.4102,167485.6148
5.89_623.0075m/z,122464.9463,121601.0004,120389.9174
10.03_826.4923m/z,151303.9595,148847.5612,150324.4421
10.19_752.4539m/z,157700.8522,157506.3164,157010.6681
9.25_587.3666n,176848.7521,178803.797,177102.1255
19.44_943.9903m/z,100452.1553,103051.1427,103572.7113
8.76_615.3636n,189970.2059,189943.3565,190228.9729
10.07_780.4486n,165947.3827,165538.1363,163901.8711
5.91_555.0202m/z,143028.3846,143570.5707,141599.4019
5.95_815.1006m/z,114691.708,113726.5212,112645.1502
11.75_235.1846m/z,3416.93706,3556.19148,3202.720906
9.75_678.4016n,206540.5535,205440.7014,206231.6763
9.83_722.4260n,214182.7765,214050.046,214637.3004
10.09_840.4959n,200146.3077,199745.7008,196207.0966
16.20_101.0964m/z,141138.1834,142703.2226,142756.6456
6.09_781.2497m/z,76757.53468,76616.4735,76903.19502
2.21_130.0505m/z,168748.5578,169013.9399,170075.3948
9.88_748.4378n,219387.38,220827.4086,218700.567
11.84_498.9011m/z,136501.485,138877.8574,137992.3295
4.69_254.0941n,258060.7109,257028.2516,258064.0289
5.90_487.0329m/z,194145.5342,194142.7438,192633.793
11.70_278.1534n,50960.65715,50922.09077,50470.48036
9.90_766.4447n,244593.3397,246046.9288,242682.7416
0.86_324.1066n,158327.2773,160543.9527,162007.4807
8.82_218.0798n,3829.187418,3953.947624,3772.541271
9.67_634.3735n,245270.3284,244910.5691,245280.4247
5.97_747.1135m/z,169243.6764,168505.2162,167794.2079
16.09_175.1450m/z,1907.501534,2127.832302,2156.563069
7.42_321.1325m/z,133826.3195,133988.1578,132562.2851
5.83_226.9522m/z,278858.619,278928.3377,278629.548
1.60_707.2219m/z,348351.8064,339204.8595,343889.1447
2.95_115.0637n,64655.61021,64240.99822,64753.70307
10.13_117.0805n,28725.25088,28467.30807,27967.13511
1.78_150.0899n,94539.96488,94355.16095,93229.24506
11.02_430.9138m/z,200527.1928,202343.465,202205.9036
6.97_991.3586m/z,277784.5553,281587.7828,280317.9372
9.58_590.3523n,291020.9849,291203.1432,292583.4289
6.07_803.2318m/z,140310.1624,139706.5909,139086.0145
18.97_121.0508m/z,248955.7436,254313.2251,251407.6815
3.85_943.9907m/z,211148.5083,210650.012,208139.1688
7.58_959.9651m/z,220351.6321,225044.6307,218245.7003
19.50_342.1161n,392507.5569,378903.8901,375722.6254
6.10_759.2683m/z,116918.5536,117314.4758,117428.0085
7.07_315.0189m/z,333971.6861,334985.7159,332715.2458
5.29_96.0581n,49664.35757,49604.6242,50335.54158
4.57_194.1161n,242861.4639,241993.7691,242640.1117
5.99_679.1265m/z,315450.8844,313214.1782,311747.603
9.49_541.3113n,435664.1749,428804.1116,433395.3962
5.90_419.0458m/z,465699.0202,464148.8437,461205.0266
13.16_382.3798m/z,350883.1698,346896.4089,346356.3516
6.01_611.1392m/z,381067.0221,378721.4974,376123.5487
9.13_684.2812n,270989.432,268265.3748,268263.7016
6.08_521.1700m/z,412106.6334,409454.1892,407436.2545
9.35_502.3010n,648067.0656,645615.2786,647519.2922
5.88_351.0585m/z,744212.5765,741993.5141,740002.7772
6.99_753.2606m/z,720521.893,729631.6517,727469.7665
8.17_326.1957n,532030.6717,524541.5062,521497.444
13.16_337.3352n,555659.6039,552228.6698,553576.3244
7.01_515.1618m/z,933467.0285,944290.8251,939636.1208
9.19_458.2747n,893695.8204,895754.3502,895105.0135
8.70_370.2224n,825739.2217,823635.6336,822411.8931
6.04_543.1522m/z,576369.4713,573419.658,569093.7703
8.99_414.2486n,922967.2439,920764.1701,932285.3382
11.07_104.1078m/z,762346.5873,753065.7001,740254.7302
2.20_148.0613m/z,1495344.405,1505891.633,1496764.493
2.64_99.0691n,1257846.156,1243689.831,1245578.891
6.55_953.4036m/z,1584493.479,1594106.823,1587353.934
0.86_342.1169n,962746.6805,977149.5933,984317.8848
2.54_365.1068m/z,1516789.193,1566551.289,1569134.399
1.88_365.1069m/z,1927004.072,1907884.05,1926284.503
7.07_277.0631m/z,1456575.801,1465103.777,1457094.067
6.15_975.3860m/z,2135237.821,2140124.018,2139763.48
6.12_737.2869m/z,1696006.749,1697220.289,1699105.618
6.50_715.3050m/z,3556725.444,3565073.182,3562381.901
6.10_499.1882m/z,1644111.866,1638763.654,1636969.009
6.30_477.2059m/z,10151830.87,10185398.6,10159686.61
5.99_260.0823n,9058246.16,9006149.015,8996954.292
6.34_239.1072m/z,12960458.18,12962706.39,12909292.15
