Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
84,58090.44654,81862.13103,496413.249,76303.89688,53912.34259,402150.5608,90894.41819,661001.3064,143059.7235,75738.28847,211625.8759,110697.6342,98375.22082,22015.05267,164469.177,101618.4657,434325.8649,16038.51023,113978.0346,73186.60003,8973.406337,285244.7881,93480.02831,132065.3909,80034.56851,363923.5702,39925.64174,151340.6486,72613.42256,87638.0363,79007.27369,422133.1984,62246.43577,63389.52651,60452.05038,161922.8256,64887.55696,83276.54952,105074.5103,42396.82316,65986.63693,111928.2031,142374.0726,36768.73052,65445.26892,63021.05973,34829.61521,78910.98992,1203679.203,1075549.68,1116054.073,77523.68356,1318393.794,1201703.402,1066505.003,1163206.375,1203546.203,853081.9015,1158921.687,1491188.161,1426197.868,1189080.868,1332826.304,1569433.017,1514145.165,1488074.138,1260466.873,1463775.609,1328467.943,101936.7024,1627762.746,1546964.737,1045927.339,1503096.653,112167.6872,1397186.834,1573952.333,104125.1414,1586864.644,1446043.278,1714695.34,1383148.742,1283920.864,1193044.177,1698441.093,1022739.645,1687782.117,1576414.264,1378164.048,1357586.841,1383130.534,1210455.322,1470304.377,1339075.158,1619613.067,1680664.544
Pyroglutamic Acid 1,61429.19203,228067.3138,1756624.904,101329.5702,28020.54736,1206689.899,162056.1989,2294098.085,180019.517,85117.71083,382648.6122,150900.7783,47113.03754,25052.78525,348370.3815,90298.32329,1440702.334,38862.04305,88019.05896,103044.6824,20382.54312,562699.0599,92898.86504,128630.4005,78894.10212,914201.2786,43455.85251,216727.2885,33323.63313,88692.19578,59344.06089,1238538.153,79729.69979,125479.0504,64243.83838,366253.5274,71359.1253,84497.78072,54034.57174,336436.1367,205482.4368,64941.01763,146271.4497,26904.99648,113032.3539,39309.39025,32124.17903,62823.18749,120113.3743,15427.96312,22507.20334,176732.6378,16886.55387,164971.3373,16919.21957,120255.9973,127085.0689,104140.8872,20037.16632,16164.13815,143451.237,101734.1231,18235.5855,14756.34165,13587.99281,20031.20093,125795.0627,17017.13845,19109.5418,17748.87508,15416.12167,239619.5425,128323.8629,19476.91316,11316.91113,180674.7787,21786.32311,16086.34237,15540.85123,142797.0477,24358.36694,176136.5417,177936.1878,199774.7756,18583.95878,172584.7232,27363.21305,194884.1154,197237.4503,278661.5004,57169.98051,247697.4887,221129.8882,199333.647,318489.9732,29986.10197
106.1,131849.5203,94892.99881,972521.5605,84723.00799,147527.5916,212662.1831,244796.4433,590961.824,135459.3448,128212.2026,117130.1862,191223.9036,145877.1805,90489.10554,191548.1348,87341.72186,895485.5167,70970.53264,187977.1428,189981.4626,62950.22881,168970.4735,152577.6272,204661.7061,170559.7636,212212.0712,151914.8839,255086.3478,288786.0479,213730.3306,156061.5942,332157.2951,228510.8582,410525.813,239002.0582,234070.6989,247068.7252,147877.1603,307126.4727,722374.8786,471205.3423,352920.6053,445090.7411,349270.259,327566.6492,331218.0853,246692.1467,344476.2407,1147494.49,656049.8431,1185051.376,1006114.502,602846.053,1145827.877,733001.7614,1051979.829,614099.1192,498600.6409,358915.7205,316981.99,525757.7448,547181.073,442258.8934,888078.3131,762863.0042,669955.7139,567571.8167,507411.905,307638.0951,376806.8184,523109.1164,628054.0957,581189.0863,607379.15,336753.5687,1386170.07,753936.9144,432351.7384,629349.0385,476985.2826,372979.133,423306.9214,521558.378,529191.8513,463436.4472,388264.5593,587672.9678,901867.145,737564.852,1216160.131,556310.5535,373028.1799,735835.1689,668962.506,1277618.229,427605.0483
422.1,77.21665079,1870.498444,128588.8623,13.142647,23.57011886,20.46204844,1602.584508,115156.2702,52.39946739,11.46284853,99.19757297,25.70537815,20.69611923,31.48000421,22.09473866,18.70800223,56.78130915,32.51293336,95.86783919,54.44194015,11.27520525,126.2980415,62.50403925,104.7670505,37.62514435,95.23579195,36.80142241,26.72910454,23.47824703,17.15033448,13.12991802,32.21056269,10.80935862,9.0556724,17.08395424,10.76057314,30.24997796,9.900114845,213.2220864,12.56865761,46.76288606,17.6240838,7204.119082,51.93494298,11.95921076,13.42641937,26.11648985,55.76274003,36677.78926,37770.46335,35211.06927,31816.039,31407.79574,31809.52719,32823.37105,34467.33781,36390.99215,28003.80656,38539.30119,31965.50891,22064.1437,31774.42769,35698.26597,17463.15534,26728.29769,24605.57311,33000.41779,32041.40697,29663.26982,33364.44711,23982.36944,25336.80986,27742.75669,32362.03842,67.73915195,31849.9786,27657.1122,32675.70594,29556.06554,33682.10989,22646.70732,32515.59847,30670.44982,29919.0865,23455.66965,22633.0083,23654.7066,22084.38187,26215.52253,27065.14265,20615.17166,31204.34062,21950.68988,28372.0011,18151.37142,21507.18684
350.1,22143.519,17571.57975,29247.81239,15819.82455,155726.6626,64954.61781,79939.71669,32357.50153,113762.6118,18426.95258,19914.29309,153408.8538,143349.0795,9569.478432,68426.10292,6535.980454,40453.77255,1003.12855,55462.99296,171941.1485,774.354689,15614.74572,17880.79104,181222.9806,15652.07194,60674.95579,109949.0083,18859.88547,21243.48272,21578.73967,16792.82147,38386.58799,9012.715983,169586.4935,8150.720726,4114.2389,75113.45026,4075.087901,170427.4037,13932.43997,8188.872015,16685.40858,160031.6942,186636.9189,145937.3706,26265.42665,19093.77873,167824.3314,1233.45584,656.7321218,1082.740341,512.5008718,340.678518,1075.064565,937.7127629,1315.135943,554.4496309,479.1707552,196.8143062,362.3036377,180.3817359,341.5673308,223.7300909,293.8575045,237.0831784,266.3850694,331.4114498,597.3363984,245.1786364,598.3986147,527.3733838,269.1236412,358.3561715,276.7556599,10549.50519,829.4313974,716.1394849,616.3753834,277.0187113,357.2513316,0,962.2723661,425.6712709,234.0064727,167.455351,601.888724,1214.259425,235.8029647,229.5289228,368.6376861,357.2160648,307.9814868,415.0659232,83.08781446,269.3230025,376.6902681
249.1,234.1198132,36.07188809,768.4361989,235.9516879,39.00131146,105.7662683,823.5467144,763.6500131,846.4441067,549.4333006,885.9024742,55.23740517,19.46119297,196.4640713,3385.151203,36.3920883,69.62770352,24.85212874,24.75136709,480.5882989,741.9187317,40.65502059,13.34968718,748.0513014,164.5426946,55.18509964,41.73183343,36.39132854,10.94889812,330.0600009,3932.317997,73.39211517,112.4813175,44.58765534,57.86410854,56.36922281,100.3463599,4.172746574,20.99346587,582.510275,83.3647758,48.32704829,1575.833512,19.03674429,87.01176025,99.58081273,15.06218516,48.08957115,138477.5624,123416.7525,99666.18941,99248.67205,104041.0017,107863.3581,116423.3031,136521.0999,113988.5477,155107.4315,95618.29944,97457.5368,115297.1737,153753.488,109490.6569,82839.02394,97520.9483,96613.38189,93519.13605,86091.77703,89738.65964,74959.48762,82474.41551,84105.87359,100734.4774,99080.99638,42424.66183,70856.26415,116281.678,81449.38014,88628.69584,78550.45764,76290.64472,88314.7858,67063.86909,64966.59767,78402.86182,109477.8404,88411.79675,69225.79283,71431.47378,52326.8311,124679.5682,62006.981,83359.68965,84439.50046,62954.26879,68216.2036
957.4,1430.813726,2277.292797,409.8384041,751.2084718,490.9596236,7028.714206,2279.536307,1101.454421,1497.722569,2505.648258,3108.228522,1480.393148,921.7766283,1064.953348,8748.250336,944.0155282,423.9040116,1006.510639,763.4354403,622.9684665,1351.393212,1364.330454,1144.772533,1426.984111,1438.620445,2663.551909,1628.533528,2103.085216,858.9537181,1036.375507,711.7503003,2377.691197,1026.722778,745.4893519,1411.177795,2398.024654,1250.253826,795.359189,918.8383805,1855.537591,17925.65982,1222.719646,1020.805835,666.8612027,1407.333733,920.6466486,1064.239385,763.3495806,2005.658202,4335.920735,3037.538576,4649.825835,5113.889585,4638.9526,3240.072254,2602.368939,1823.547995,2494.319143,1846.195361,5082.035962,1936.168905,1483.022407,2654.368725,6918.692911,3501.945127,3267.247616,4678.068684,3370.064458,5964.419894,6427.709096,4668.78248,5965.698516,3092.625756,5560.329978,2187.620011,6070.179611,5081.058039,4253.54763,5782.05903,2619.231381,13399.46293,2161.487512,7801.592048,9913.867454,7549.817405,3356.377461,5329.972766,7058.899552,5762.48774,10567.44085,4760.689053,9209.039456,3698.160463,4843.771068,6479.077248,14372.81236
353.2,8.119179141,11.73881726,3471127.645,17334.40275,5692.530538,1160895.573,15351.61068,1804490.163,15070.46045,5996.169889,3589.438961,1219.712264,193.690357,131.9228069,60.72732076,17.24101487,2891364.397,2593.258396,7719.979206,3383.809416,274.7670071,1156.324683,506.7651887,212.8499292,6.788374758,1549285.347,8651.168544,3198.00359,828.0813185,689.016793,31.04268803,8117656.893,20641.39458,6318.732059,2792.113634,1624.752627,13.19348567,48.14667345,110.082061,13.39948636,82.71136134,18.27114822,23.56583318,78.21838919,10.29198201,12.75239842,124.4398146,40.4421948,40.02017456,15.22637287,30.40362963,19.17767185,16.95261971,18.97797198,42.59380108,3.372973513,7.911957043,3.831940104,19.59144604,10.91663427,8.337664825,6.174875753,42.74174295,29.03975823,13.32170795,37.7490795,10.68208018,5.614338391,19.91437442,26.96760153,47.46237719,1.439143551,12.78010613,18.39318867,5.090025736,6.697583936,15.04893018,8.584678775,6.589759473,24.09369917,9.733674086,3.390891628,9.51262029,6.726668321,19.84697217,17.67564331,5.631028787,16.31506427,3.972424448,4.726074084,4.510028595,14.74791684,13.47329592,12.1744225,22.23134271,1.826614796
86.1,3420102.512,3056033.82,935780.3782,3099555.574,3686952.885,847149.653,1182685.111,707361.7096,2655495.627,3509952.373,1811433.954,3307464.766,3698634.947,3079749.307,2793002.927,2686559.156,1032420.688,2137910.608,2957093.766,3860015.966,2063279.459,1319002.842,3625011.199,3425854.765,2749522.928,834438.4655,2986276.708,3260345.16,3710507.44,3532368.445,3373808.042,459461.5066,2974530.985,3602041.284,2949022.405,2224342.119,3968922.333,2499685.248,3532972.83,3203806.815,3247634.419,3803089.028,3538891.904,3698326.621,3599494.862,3886495.497,3635433.224,3808284.48,7280.902047,5535.692829,6462.536744,6823.414792,6691.492501,4859.865813,4359.64958,7973.992194,6423.55465,3308.562593,9178.193549,7309.587993,3096.535837,2711.332037,6643.015557,7242.166238,5783.019504,7639.820001,7974.625857,7045.996401,7322.809662,9316.568668,4561.26224,4256.175003,5520.582639,7870.686413,18312.20019,7083.530703,5802.968371,8506.41958,6478.230868,6610.875251,7549.882069,4642.989984,8541.991025,7895.213726,4668.54129,2847.649852,6475.601982,3703.189133,4814.894507,7778.628295,5833.239063,10235.73437,5600.218299,3961.192159,4330.626573,6157.185575
63,1650.6998,1353.216162,1355.102528,668.3018228,100.2582877,403.0336181,1312.940696,816.7687715,834.1011096,965.6008932,3438.993877,1620.990686,461.9669708,97.74836281,5320.646601,818.9271973,1154.709724,1342.092807,982.8430098,769.2210742,1007.823721,7144.282581,827.1868843,623.8274432,726.738196,3081.212355,835.9259652,1852.532377,947.3767457,243.8809473,371.4715817,1085.947768,2713.197057,446.5643798,1060.713759,2969.528169,499.639702,1072.954318,491.0955772,670.2215958,1203.983708,1011.32415,859.053445,425.3526812,826.1000122,184.0747619,66.04531455,542.3113206,5981.106411,4693.862535,7727.349374,3899.308096,3796.951639,5661.987889,3573.608682,5114.869814,6385.486786,7092.65255,12032.34941,2991.940074,894.9271597,1652.428918,7521.809263,595.9065405,1982.911214,1039.789416,3640.138002,2940.488907,2585.810158,6640.569627,1075.571479,1231.085249,4437.462964,4445.660276,474.3819061,3405.315264,2607.316732,8286.813383,2017.375578,4656.240906,1241.039058,5444.48048,7177.136729,6057.584339,1965.990958,3872.372387,1718.739277,950.8742839,6710.816269,7552.83534,4656.087405,9744.611738,6324.750285,4891.618788,781.0861654,2515.913358
214.1,23.1183666,22.10348183,51.81788691,5.908739761,18.38367192,5.929994785,93.28726236,36.3063449,10.46552003,11.44654908,6.625025119,7.932502797,4.677038538,23.43859148,24.7060324,21.2568087,22.43623545,4.051362573,10.6402145,11.8525308,9.631840133,20.24359378,14.86948531,9.181371211,2126.950811,37.71151486,29.36207067,33.98208124,6.196579292,7.550009134,14.93605869,15.67887927,14.95290285,3.307867698,23.46868097,9.852644514,35.36814238,50.92477856,18.00085902,11.39399866,28.54586057,11.68548788,14.3487288,3.557003218,4.859259185,26.56025287,13.53366637,15.09174634,316969.6308,359730.2855,341036.9085,357909.2469,347168.3319,385816.5678,366000.8215,328373.2179,364595.6573,483557.3707,300701.1231,379594.0119,417234.2583,544933.3575,329496.8851,365302.6044,365995.4759,384112.3902,498464.381,369523.7789,346764.6094,299729.6829,376530.4711,396266.5475,374453.9868,357709.4535,36998.15078,328196.3805,356937.3647,305078.9916,355775.0387,319287.7975,332209.0909,351389.386,403892.1571,391152.4719,353865.4728,418195.2348,333376.3431,480132.8064,330709.3855,286340.5972,732142.5451,402165.245,335907.5218,462143.9111,379088.9125,320534.9973
145.1,69553.1269,173878.1922,150423.3892,102627.6765,72720.63808,31068.31046,95866.45924,88449.05125,200558.8445,44475.23176,33337.36268,102503.1998,109182.6512,16672.37849,42123.53025,271117.4157,78863.81038,51176.41228,116251.5814,59395.33828,88998.32382,36515.5374,75872.57522,52032.44966,112684.4508,72754.83982,127679.5218,120967.6211,63914.33675,255042.0733,188653.645,25716.25263,179447.3774,270020.2594,255784.7555,128971.1655,226593.0952,32798.45769,138012.0753,101315.9272,74605.52788,204713.0328,192223.5282,328520.8426,208913.0165,223234.0887,200882.711,286979.7461,10353.11378,7374.296485,7934.45808,9933.081719,9706.031947,9862.748187,5553.124934,5190.592872,9833.119545,3728.210625,9971.788669,10040.29199,9355.842277,1979.252225,10355.97479,5187.263158,10010.49662,8857.981699,2838.459463,11367.40573,5975.535236,10224.15717,6274.318415,11263.46461,6253.507091,11284.86521,12638.24929,5446.748047,12181.69283,10313.3982,13846.49318,11985.55274,14162.80177,12166.01229,5998.302838,7925.457779,36895.4849,17795.99057,45064.02179,15882.06502,26945.79058,23761.78899,27265.60745,22091.35707,29468.95412,23690.97841,37829.61424,34635.49946
227.1,14792087.66,13908899.93,10811.18158,57496.25056,14555237.8,4604545.102,14236655.36,11683.06552,10879466.69,14678199.08,13090822.24,15895107.03,13834049.13,259085.7722,10097520.9,11539142.28,6469.271479,2024219.113,17919434.85,17114856.63,2110370.957,12118302.77,15805090.06,14137019.35,17379967.94,12056003.56,17605594.14,15493549.25,15919556.62,15204960.5,16829463.54,12262.4529,14027591.04,16937773.19,13150413.26,9088343.974,16326277.14,5498053.321,16648584.5,14136021.67,11708573.67,15516208.34,13610180.46,15073139.91,19908962.38,14952350.57,17144500.97,16791159.03,234835.1247,241929.789,386398.6398,269865.3636,24938.11066,439838.8797,197129.7452,254017.0615,236438.9277,780997.8974,443498.987,450005.2376,431912.7561,594096.7824,348210.2476,121180.7804,136092.1156,138964.0518,198532.2273,141577.9753,151012.2929,61967.22571,40931.85758,178472.6391,159629.035,100934.2515,16882.62466,209800.6151,436501.4501,136320.4729,143033.5709,173026.5578,15608.1768,331891.861,164874.1583,261213.4713,117424.138,566260.1829,135714.2769,89001.34093,149444.0861,190891.5065,225015.8818,82160.69036,184380.468,90720.3129,36630.45096,106570.0313
211.1,2330.905999,565.8824398,26.03787964,490.2894306,508.4424398,17.465715,18772.76267,5490.746023,321.3865056,809.2341858,646.7230181,5349.211118,369.5005289,288.8599906,890.3603558,267.5476499,10.09766066,74.21798922,420.4176478,423.8839622,0,327.3147447,307.4317664,310.3686621,3310.81696,76.36788243,198.8798091,738.6508382,733.511059,684.8620994,407.782067,0,558.0930943,1211.933531,532.4656838,583.3022192,317.6131887,204.1515165,170.677901,606.9827058,514.443671,375.8728583,3725.226001,545.5546152,1083.184634,316.0025321,420.7579113,613.1054143,265.6378019,140.1270268,261.3049465,464.4829846,268.316478,267.1529954,336.7383777,226.424718,329.4545236,51.16687733,530.4348717,140.3012491,216.3184066,70.91672668,478.0551196,6187.141219,2732.370621,1790.342036,448.7114917,536.215167,548.4319342,463.6052331,477.7763927,684.526744,198.39385,9491.578674,2.185056987,415.1284707,436.4755047,188.2411091,308.0317685,368.6722883,4428.281859,123.0859063,211.5371884,157.8248068,271.8912187,16.74296516,216.6906117,94.35123788,249.5370575,233.8306812,308.9069673,2982.637336,125.9005551,171.4549434,510.7640122,318.4185263
230.1,3.516511976,0.740955132,30.31975357,19.20874066,26.09702064,41.14073843,72.91537942,14.2441678,2.916327923,21.23311722,59.15778642,31.91833123,26.14231894,42.36361933,10.17582288,27.19516617,9.409475924,29.68348135,25.35014874,7.343772192,0.119799062,34.86966103,53.30113236,9.65231998,20.82618097,10.88718519,5.652210819,16.10915362,22.98999485,27.80182903,0.741047506,12.60516906,13.27528059,22.65233396,40.61046897,0.847164304,34.75540307,6.044816977,9.477522817,5.027412657,14.33220254,29.34191687,11.5575807,31.61632652,15.53573591,4.158128116,14.17799921,0.277740456,38.5519995,18.48122192,31.41117584,27.70463025,2.048858242,31.57361112,1.689142355,73.65081486,69.06043741,55.61583487,28.40754402,3.211499834,23.4679005,55.71836478,42.02556877,22.1510992,39.5085194,50.34487755,21.05881362,6.097743383,33.15683405,30.72855488,38.14048755,12.84561453,40.54774788,19.04266108,2.597831665,27.12848647,19.29833734,13.21792478,75.33754845,11.69729174,22.65998427,19.46890639,48.30164469,17.40752748,14.1402686,51.61181506,73.00857386,1.349404667,39.93202447,7.18613683,46.34477809,43.93654659,17.94797831,38.14873953,27.39236128,6.320375351
178.1,17656.08201,16498.1746,19142.87854,19612.15636,14231.0849,16133.75701,21590.26312,12616.18734,20777.87572,15210.64275,12545.38902,21766.81594,14809.75901,19008.12818,3910.677027,23658.30623,14704.10797,17871.58984,20709.73213,14253.76472,16749.93792,16699.09332,17089.28072,13929.05954,22015.15778,16791.30363,19463.43272,15244.87676,14904.89764,16761.01324,20084.07024,13804.74142,21542.86868,16240.99502,21086.06392,18476.55342,16031.2174,21950.62176,18796.69767,21945.44949,2516.061804,16685.57252,23081.19391,17725.37738,14981.13043,15892.06671,16986.87538,20024.97634,15799.96034,14549.25716,15283.26503,13051.49179,12203.43741,15653.67877,16382.60602,16332.50832,17755.8338,14391.97794,18500.20436,13857.54478,20232.72946,18059.34465,17122.9819,12295.21065,17450.71784,13799.82883,14083.94393,12653.59008,11711.16214,9152.261325,15325.12859,16319.67783,17637.37409,19768.55475,27618.69381,12619.95475,17497.49832,11532.30133,14235.29907,16052.5674,14343.44411,19466.16658,13095.56564,12493.7267,12831.65216,12016.99159,13363.90243,13120.77054,13209.80776,9778.082945,11289.41206,14414.92608,13198.66312,17382.17977,16949.95116,11707.21918
102.1,90362.84632,178111.7482,506152.735,78066.45085,52660.36145,395651.4726,88513.43891,827448.5062,188272.8788,94440.06346,526308.0687,162782.3716,95313.60431,20749.75242,292621.1102,88718.58215,412279.5674,19612.0297,92607.26576,135678.7504,11021.80442,506910.3055,77183.19149,127205.0637,94550.03464,395692.0086,54953.44504,258029.39,44942.71596,83492.59179,82896.23052,420231.8339,79043.79001,75733.1671,60201.65957,214226.1367,88456.51086,214094.0483,278478.7613,67148.15107,291521.812,86222.74686,156333.4761,30469.81986,62788.12571,42694.63373,20793.02388,52250.81954,1919320.039,1702902.551,1786931.543,2083694.563,2039941.871,1889203.382,2053533.762,1780722.614,1841181.272,1372322.284,1727243.034,2092771.304,2052699.612,1683715.402,1989187.046,2297038.211,2227878.506,2132646.016,1804577.848,2112733.555,2119439.773,1961844.517,2341270.098,2269680.622,2228921.078,2210959.15,166445.7862,2051404.952,2332156.367,2071325.362,2383437.254,2289381.307,2624649.802,2122101.128,1992467.916,1896798.825,2750590.142,1699395.396,2781439.776,2610739.099,2354512.772,2268732.298,2342905.473,2108339.786,2540868.683,2305419.948,2756048.822,2883132.631
232.1,202784.0664,99465.35293,2262106.977,43595.36652,10127.2623,591789.8382,1588804.407,381871.27,509399.8099,220401.7926,124481.5985,1223859.679,25138.79231,7957.844323,441671.3873,165911.3348,1380601.083,175309.5543,183579.4681,71416.87259,149256.1952,1213110.872,74337.10108,186806.0089,133415.2997,1108645.415,125044.2892,709700.2522,62256.60674,93279.42201,73455.36581,669978.0299,178622.8905,45408.49366,45123.75984,1258418.404,104176.9294,66994.58019,41058.03966,597583.1173,36176.8499,70304.9467,503334.7252,15399.23786,155210.4847,48157.95474,14855.12692,22156.73635,151676.1019,17396.54905,81606.40206,39113.61513,41220.7686,66594.64356,23433.81214,141528.4298,89411.35149,69151.65687,266012.9842,32220.44141,6522.376873,10936.08856,123696.2706,5383.156301,29177.9439,7571.665395,35839.9635,13925.07858,39353.38747,52033.26349,11405.64184,10678.63551,49418.23449,19164.29731,15982.33807,74600.19751,46775.95478,75446.32948,29442.43558,43845.6967,11917.82054,68725.56058,47310.32172,127947.6932,10848.65646,13668.86686,43925.72615,4321.510171,69732.89072,70481.51759,40111.00709,73248.2666,76633.35352,29977.20821,6074.210292,46411.95844
634.7,6375.833179,5616.542238,6100.024891,5419.012336,10034.03879,9239.120308,8028.011646,8962.844159,11542.5916,8639.19452,8048.825839,10331.13298,7852.794874,10544.41079,8555.735071,7697.38396,6715.155843,8206.10268,8899.405018,11246.96794,7996.600546,7241.656364,10257.44154,11412.10787,7596.145882,12635.39406,24109.47484,13274.87765,12631.33004,12590.22316,12512.1882,9391.586613,11352.30138,13479.30074,10855.64451,12549.50301,11547.84937,9903.182898,7377.719366,12071.31848,8910.609412,8015.672671,10259.38708,22087.00181,19705.67924,12926.48001,12330.66871,12797.60654,9953.397686,11666.28965,10752.87405,13775.77865,11590.87415,12675.32948,13865.84869,12661.51297,16000.93993,11503.47831,15242.15911,15481.55067,8082.21599,14266.77897,11238.17829,13603.28199,12747.26832,11723.43935,11622.53437,13477.52799,11892.40574,13579.25941,13007.59306,13127.30145,12001.44504,12095.26999,10343.78399,14921.5799,15176.97294,14458.9073,14090.45308,14515.52279,13748.16043,12441.48069,13664.04385,13685.39045,14002.50298,13998.90526,13102.82376,12112.43111,14976.57011,14275.15105,12062.7055,14338.98899,15051.91569,16714.52358,16150.32455,14110.30684
201.1,51371.49891,32913.06351,90.99801823,29038.18693,35408.57383,287.4404667,27471.11097,114.3796241,29833.33521,30741.24165,32580.31001,34487.46422,33727.21051,25572.97379,32627.68507,26093.26406,24.28032583,11443.28488,27361.78455,34549.53917,7435.03048,29211.69711,32417.15155,39694.16753,28631.42707,2859.902159,28235.16112,33846.76782,31662.59339,30580.82066,35526.34448,118.3050946,25564.80528,38773.87565,25895.02184,13584.64678,36190.11578,14304.1969,33572.70406,32056.97294,32640.97231,33987.44005,37238.52622,37282.6373,39265.43784,36871.70942,29357.21041,37548.40519,51.39664317,61.31204975,1043.64564,40.8099953,42.50919595,667.7033649,91.18898401,44.32116072,128.3891464,32.31937746,100.2757828,48.73288666,57.95009646,64.80795908,239.942392,166.8524142,106.098326,31.25132019,61.9077222,23.09371484,67.85088866,87.30345938,24.46278494,49.99659097,56.33301036,165.8507382,59.812868,33.63963051,44.03011148,124.29532,80.87040753,58.51194835,19.92207047,25.05261463,27.91573355,132.615007,108.3340983,25.41278969,164.2043478,17.1912296,22.88122526,34.68725469,1659.729437,18.38349088,35.67595797,35.05607682,52.3521449,89.29476543